sefr, zero
yak, one
dou, two
se, three
chahar, four
panj, five
shash, six
haft, seven
hashst, eight
noh, nine
dah, ten
yazdeh, eleven
dowazdah, twelve
sizdah, thirteen
chahardah, fourteen
panzdah, fifteen
shanzdah, sixteen
havdah, seventeen
hajdah, eighteen
nozdah, nineteen
bist, twenty
bist o yak, twenty one
bist o dou, twenty two
bist o se, twenty three
bist o chahar, twenty four
bist o panj, twenty five
bist o shash, twenty six
bist o haft, twenty seven
bist o hasht, twenty eight
bist o noh, twenty nine
si, thirty
chehel, forty
panjah, fifty
shast, sixty
haftad, seventy
hashtad, eighty
nawad, ninety
sad, one hundred
